20231102_214206 - Executing: bun hardhat run scripts/core/deployContractFactory.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/core/deployContractFactory/celo-mainnet/20231102_212901/deploy-20231102_212901.log
20231102_214329 - Executing: bun hardhat run scripts/core/deployContractFactory.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/core/deployContractFactory/arbitrum-mainnet/20231102_212901/deploy-20231102_212901.log
20231102_214442 - Executing: bun hardhat run scripts/core/deployContractFactory.ts --no-compile --network base | tee ./reports/deployment-logs/core/deployContractFactory/base/20231102_212901/deploy-20231102_212901.log
20231102_214555 - Executing: bun hardhat run scripts/core/deployContractFactory.ts --no-compile --network polygon | tee ./reports/deployment-logs/core/deployContractFactory/polygon/20231102_212901/deploy-20231102_212901.log
20231102_214716 - Executing: bun hardhat run scripts/core/deployContractFactory.ts --no-compile --network mainnet | tee ./reports/deployment-logs/core/deployContractFactory/mainnet/20231102_212901/deploy-20231102_212901.log
20231102_214913 - Deployment finished with 0 error(s)
20231102_214941 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network mumbai | tee ./reports/deployment-logs/core/deployAllo/mumbai/20231102_214941/deploy-20231102_214941.log
20231102_215116 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network goerli | tee ./reports/deployment-logs/core/deployAllo/goerli/20231102_214941/deploy-20231102_214941.log
20231102_215314 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network sepolia | tee ./reports/deployment-logs/core/deployAllo/sepolia/20231102_214941/deploy-20231102_214941.log
20231102_215518 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/core/deployAllo/arbitrum-goerli/20231102_214941/deploy-20231102_214941.log
20231102_215646 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/core/deployAllo/optimism-goerli/20231102_214941/deploy-20231102_214941.log
20231102_215817 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/core/deployAllo/base-testnet/20231102_214941/deploy-20231102_214941.log
20231102_215957 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/core/deployAllo/celo-testnet/20231102_214941/deploy-20231102_214941.log
20231102_220135 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/core/deployAllo/optimism-mainnet/20231102_214941/deploy-20231102_214941.log
20231102_220302 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/core/deployAllo/celo-mainnet/20231102_214941/deploy-20231102_214941.log
20231102_220425 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/core/deployAllo/arbitrum-mainnet/20231102_214941/deploy-20231102_214941.log
20231102_220555 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network base | tee ./reports/deployment-logs/core/deployAllo/base/20231102_214941/deploy-20231102_214941.log
20231102_220727 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network polygon | tee ./reports/deployment-logs/core/deployAllo/polygon/20231102_214941/deploy-20231102_214941.log
20231102_220904 - Executing: bun hardhat run scripts/core/deployAllo.ts --no-compile --network mainnet | tee ./reports/deployment-logs/core/deployAllo/mainnet/20231102_214941/deploy-20231102_214941.log
20231102_221117 - Deployment finished with 0 error(s)
20231102_221159 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network mumbai | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/mumbai/20231102_221158/deploy-20231102_221158.log
20231102_221203 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network goerli | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/goerli/20231102_221158/deploy-20231102_221158.log
20231102_221209 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network sepolia | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/sepolia/20231102_221158/deploy-20231102_221158.log
20231102_221213 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/arbitrum-goerli/20231102_221158/deploy-20231102_221158.log
20231102_221218 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/optimism-goerli/20231102_221158/deploy-20231102_221158.log
20231102_221223 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/base-testnet/20231102_221158/deploy-20231102_221158.log
20231102_221229 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/celo-testnet/20231102_221158/deploy-20231102_221158.log
20231102_221234 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/optimism-mainnet/20231102_221158/deploy-20231102_221158.log
20231102_221240 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/celo-mainnet/20231102_221158/deploy-20231102_221158.log
20231102_221243 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/arbitrum-mainnet/20231102_221158/deploy-20231102_221158.log
20231102_221248 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network base | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/base/20231102_221158/deploy-20231102_221158.log
20231102_221254 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network polygon | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/polygon/20231102_221158/deploy-20231102_221158.log
20231102_221259 - Executing: bun hardhat run scripts/core/transferProxyAdminOwnership.ts --no-compile --network mainnet | tee ./reports/deployment-logs/core/transferProxyAdminOwnership/mainnet/20231102_221158/deploy-20231102_221158.log
20231102_221304 - Deployment finished with 0 error(s)
20231102_221325 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network mumbai | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/mumbai/20231102_221325/deploy-20231102_221325.log
20231102_221413 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/goerli/20231102_221325/deploy-20231102_221325.log
20231102_221509 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/sepolia/20231102_221325/deploy-20231102_221325.log
20231102_221606 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/arbitrum-goerli/20231102_221325/deploy-20231102_221325.log
20231102_221652 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/optimism-goerli/20231102_221325/deploy-20231102_221325.log
20231102_221736 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/base-testnet/20231102_221325/deploy-20231102_221325.log
20231102_221827 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/celo-testnet/20231102_221325/deploy-20231102_221325.log
20231102_221920 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/optimism-mainnet/20231102_221325/deploy-20231102_221325.log
20231102_222016 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/celo-mainnet/20231102_221325/deploy-20231102_221325.log
20231102_222059 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/arbitrum-mainnet/20231102_221325/deploy-20231102_221325.log
20231102_222148 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network base | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/base/20231102_221325/deploy-20231102_221325.log
20231102_222235 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network polygon | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/polygon/20231102_221325/deploy-20231102_221325.log
20231102_222325 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionDirect.ts --no-compile --network mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionDirect/mainnet/20231102_221325/deploy-20231102_221325.log
20231102_222420 - Deployment finished with 0 error(s)
20231102_222432 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network mumbai | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/mumbai/20231102_222432/deploy-20231102_222432.log
20231102_222518 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/goerli/20231102_222432/deploy-20231102_222432.log
20231102_222607 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/sepolia/20231102_222432/deploy-20231102_222432.log
20231102_222705 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/arbitrum-goerli/20231102_222432/deploy-20231102_222432.log
20231102_222756 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/optimism-goerli/20231102_222432/deploy-20231102_222432.log
20231102_222847 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/base-testnet/20231102_222432/deploy-20231102_222432.log
20231102_222943 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/celo-testnet/20231102_222432/deploy-20231102_222432.log
20231102_223035 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/optimism-mainnet/20231102_222432/deploy-20231102_222432.log
20231102_225427 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network mumbai | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/mumbai/20231102_225427/deploy-20231102_225427.log
20231102_225519 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/goerli/20231102_225427/deploy-20231102_225427.log
20231102_225546 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/sepolia/20231102_225427/deploy-20231102_225427.log
20231102_225624 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/arbitrum-goerli/20231102_225427/deploy-20231102_225427.log
20231102_225652 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/optimism-goerli/20231102_225427/deploy-20231102_225427.log
20231102_225722 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/base-testnet/20231102_225427/deploy-20231102_225427.log
20231102_225752 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/celo-testnet/20231102_225427/deploy-20231102_225427.log
20231102_225824 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/optimism-mainnet/20231102_225427/deploy-20231102_225427.log
20231102_230118 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network mumbai | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/mumbai/20231102_230118/deploy-20231102_230118.log
20231102_230140 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/celo-mainnet/20231102_230140/deploy-20231102_230140.log
20231102_230228 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/arbitrum-mainnet/20231102_230140/deploy-20231102_230140.log
20231102_230326 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network base | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/base/20231102_230140/deploy-20231102_230140.log
20231102_230418 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network polygon | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/polygon/20231102_230140/deploy-20231102_230140.log
20231102_230520 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/mainnet/20231102_230140/deploy-20231102_230140.log
20231102_230633 - Deployment finished with 0 error(s)
20231102_230656 - Executing: bun hardhat run scripts/strategies/deployDonationVotingMerkleDistributionVault.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployDonationVotingMerkleDistributionVault/optimism-mainnet/20231102_230656/deploy-20231102_230656.log
20231102_230754 - Deployment finished with 0 error(s)
20231102_230817 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network mumbai | tee ./reports/deployment-logs/strategies/deployQVSimple/mumbai/20231102_230817/deploy-20231102_230817.log
20231102_230912 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network goerli | tee ./reports/deployment-logs/strategies/deployQVSimple/goerli/20231102_230817/deploy-20231102_230817.log
20231102_231115 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network goerli | tee ./reports/deployment-logs/strategies/deployQVSimple/goerli/20231102_231115/deploy-20231102_231115.log
20231102_231215 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployQVSimple/sepolia/20231102_231115/deploy-20231102_231115.log
20231102_231334 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployQVSimple/sepolia/20231102_231334/deploy-20231102_231334.log
20231102_231443 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network arbitrum-goerli | tee ./reports/deployment-logs/strategies/deployQVSimple/arbitrum-goerli/20231102_231334/deploy-20231102_231334.log
